protein_id	go_term	score	aspect
A0A1D8PDI4	GO:0006357	0.332	P
A0A1D8PDI4	GO:0045944	0.362	P
A0A1D8PEH1	GO:0045944	0.437	P
A0A1D8PEJ0	GO:0035268	0.542	P
A0A1D8PEJ0	GO:0046354	0.403	P
A0A1D8PES5	GO:0099120	0.349	P
A0A1D8PG41	GO:0006357	0.436	P
A0A1D8PG41	GO:0045944	0.528	P
A0A1D8PGF3	GO:0006357	0.358	P
A0A1D8PGF3	GO:0045944	0.440	P
A0A1D8PGW8	GO:0046354	0.310	P
A0A1D8PHW6	GO:0006357	0.402	P
A0A1D8PHW6	GO:0045944	0.486	P
A0A1D8PJ72	GO:0045944	0.429	P
A0A1D8PJ96	GO:0000122	0.369	P
A0A1D8PJ96	GO:0006357	0.304	P
A0A1D8PJ96	GO:0045944	0.645	P
A0A1D8PJJ7	GO:0045944	0.435	P
A0A1D8PJX7	GO:0030447	0.441	P
A0A1D8PJX7	GO:0036180	0.424	P
A0A1D8PJX7	GO:0045944	0.364	P
A0A1D8PJX7	GO:1900445	0.437	P
A0A1D8PKB5	GO:0000122	0.345	P
A0A1D8PKB5	GO:0006357	0.472	P
A0A1D8PKB5	GO:0045944	0.526	P
A0A1D8PKB5	GO:0071400	0.340	P
A0A1D8PL89	GO:0000122	0.310	P
A0A1D8PL89	GO:0006357	0.373	P
A0A1D8PL89	GO:0030447	0.544	P
A0A1D8PL89	GO:0036180	0.495	P
A0A1D8PL89	GO:0036244	0.374	P
A0A1D8PL89	GO:0044011	0.361	P
A0A1D8PL89	GO:0045944	0.513	P
A0A1D8PL89	GO:1900231	0.326	P
A0A1D8PL89	GO:1900430	0.344	P
A0A1D8PL89	GO:1900436	0.435	P
A0A1D8PL89	GO:1900445	0.390	P
A0A1D8PLA4	GO:0045944	0.488	P
A0A1D8PLA4	GO:1900445	0.539	P
A0A1D8PM93	GO:0033962	0.407	P
A0A1D8PME2	GO:0006357	0.397	P
A0A1D8PME2	GO:0045944	0.576	P
A0A1D8PMM6	GO:0035268	0.563	P
A0A1D8PMM6	GO:0046354	0.792	P
A0A1D8PMQ3	GO:0035268	0.671	P
A0A1D8PMQ3	GO:0046354	0.845	P
A0A1D8PMQ3	GO:0097466	0.328	P
A0A1D8PN93	GO:0045944	0.554	P
A0A1D8PNF7	GO:0006357	0.428	P
A0A1D8PNF7	GO:0045944	0.310	P
A0A1D8PNM8	GO:0006357	0.364	P
A0A1D8PNM8	GO:0036180	0.346	P
A0A1D8PNM8	GO:0045944	0.488	P
A0A1D8PNM8	GO:1900445	0.452	P
A0A1D8PPQ3	GO:0006357	0.422	P
A0A1D8PPQ3	GO:0045944	0.388	P
A0A1D8PQ19	GO:0035268	0.597	P
A0A1D8PQ19	GO:0046354	0.809	P
A0A1D8PRL9	GO:0006357	0.469	P
A0A1D8PU45	GO:0006357	0.416	P
A0A1D8PU45	GO:0045944	0.402	P
A0A1D9PXD2	GO:0006357	0.436	P
A0A1D9PXD2	GO:0045944	0.528	P
A0A1D9PYE1	GO:0006357	0.345	P
A0A1D9PYE1	GO:0045944	0.513	P
A0A1D9PYE1	GO:0048315	0.314	P
A0A1D9QGL5	GO:0006357	0.364	P
A0A1D9QGL5	GO:0045944	0.537	P
A0A1D9QGL5	GO:0048315	0.609	P
A0A1D9QGL5	GO:0070787	0.306	P
A0A1L9X985	GO:0035837	0.350	P
A0A1L9X985	GO:1900809	0.709	P
A0A1Q5Q699	GO:0140874	0.423	P
A0A1S4FD88	GO:0050907	0.628	P
A0A1V6KBG7	GO:0052167	0.447	P
A0A1W2PPK0	GO:0045944	0.326	P
A0A1W2PPK0	GO:0160021	0.590	P
A0A1W2PPM1	GO:0045944	0.433	P
A0A1W2PPM1	GO:0160021	0.531	P
A0A224AUB0	GO:0046503	0.358	P
A0A224AUB0	GO:0052167	0.472	P
A0A286YEV6	GO:0042633	0.879	P
A0A286YEV6	GO:0050830	0.377	P
A0A286YEX9	GO:0007288	0.344	P
A0A286YEX9	GO:0042633	0.852	P
A0A286YEX9	GO:0050830	0.367	P
A0A286YEY9	GO:0042633	0.824	P
A0A286YEY9	GO:0050829	0.304	P
A0A286YEY9	GO:0050830	0.439	P
A0A286YF01	GO:0042633	0.769	P
A0A286YF01	GO:0050829	0.316	P
A0A286YF01	GO:0050830	0.428	P
A0A286YF46	GO:0042633	0.749	P
A0A286YF46	GO:0050829	0.357	P
A0A286YF46	GO:0050830	0.494	P
A0A286YF60	GO:0042633	0.834	P
A0A286YF60	GO:0050830	0.386	P
A0A286YF77	GO:0007288	0.317	P
A0A286YF77	GO:0042633	0.729	P
A0A286YF77	GO:0050830	0.353	P
A0A286YFB4	GO:0007288	0.421	P
A0A286YFB4	GO:0042633	0.847	P
A0A286YFG1	GO:0007288	0.314	P
A0A286YFG1	GO:0042633	0.784	P
A0A286YFG1	GO:0050830	0.325	P
A0A2H4SBS0	GO:0044179	0.371	P
A0A2H4SBS0	GO:0050830	0.352	P
A0A2Z5U3C2	GO:0140873	0.326	P
A0A2Z5U3C2	GO:1902181	0.358	P
A0A385XI13	GO:1900815	0.394	P
A0A3P8MJV5	GO:0050829	0.412	P
A0A3P8MJV5	GO:0050830	0.474	P
A0A411D538	GO:0006952	0.691	P
A0A411D538	GO:0010046	0.343	P
A0A411D538	GO:0019953	0.557	P
A0A411D538	GO:0044179	0.518	P
A0A411D538	GO:0050829	0.513	P
A0A411D538	GO:0050830	0.649	P
A0A411D538	GO:0050832	0.394	P
A0A423VH03	GO:0045944	0.411	P
A0A423VH03	GO:0048315	0.305	P
A0A455ZM03	GO:0045122	0.370	P
A0A455ZM03	GO:0140723	0.641	P
A0A455ZMR3	GO:0042318	0.467	P
A0A482PJY4	GO:0006511	0.301	P
A0A509AFJ3	GO:0010322	0.545	P
A0A5F9ZHS7	GO:0000122	0.347	P
A0A5F9ZHS7	GO:0045944	0.314	P
A0A6E8W6Y5	GO:0050907	0.366	P
A0A7J6JXE5	GO:0031284	0.487	P
A0A7J6KDB0	GO:0140404	0.573	P
A0A7J6KF92	GO:0031284	0.560	P
A0A7L5EB83	GO:0009244	0.453	P
A0A7T8F1J6	GO:0035837	0.673	P
A0A7T8F1J6	GO:0044550	0.406	P
A0A7T8F1J6	GO:1900809	0.554	P
A0A7T8F1L4	GO:0008610	0.322	P
A0A7T8F1L4	GO:0071766	0.458	P
A0A7U2I117	GO:0045944	0.306	P
A0A7U2QXW1	GO:0045944	0.510	P
A0A8B0M5T9	GO:0042318	0.520	P
A0A8B0M5T9	GO:0043386	0.376	P
A0A8B0M5T9	GO:2001310	0.389	P
A0A9P4XV22	GO:0045944	0.355	P
A0A9P5BNK0	GO:0019915	0.454	P
A0A9P5CTI1	GO:0045490	0.608	P
A0AAN4PB13	GO:1900781	0.435	P
A0AAQ5BIG5	GO:0032197	0.331	P
A0AB73RZI6	GO:0006357	0.329	P
A0AB73RZI6	GO:0045944	0.487	P
A0QV03	GO:0000027	0.579	P
A0QV03	GO:0000028	0.352	P
A0QV03	GO:0002181	0.646	P
A0R0H1	GO:0006508	0.324	P
A0R0H1	GO:0043952	0.557	P
A0R2N2	GO:0000160	0.402	P
A0R5I3	GO:0006508	0.417	P
A0R5I3	GO:0009252	0.325	P
A0R5I3	GO:0015628	0.306	P
A0R5I3	GO:0043952	0.726	P
A1DBL3	GO:0050830	0.351	P
A1Z8F4	GO:0000122	0.365	P
A1Z8F4	GO:0035167	0.455	P
A1Z8F4	GO:0045944	0.453	P
A1Z8F4	GO:0046843	0.333	P
A1Z8F4	GO:0048813	0.368	P
A2E926	GO:0061572	0.311	P
A2IAB1	GO:0050829	0.433	P
A2IAB1	GO:0050830	0.431	P
A2IAB1	GO:0050832	0.338	P
A2IAB2	GO:0019953	0.358	P
A2IAB2	GO:0050829	0.447	P
A2IAB2	GO:0050830	0.394	P
A2IAD0	GO:0006952	0.415	P
A2IAD0	GO:0019953	0.469	P
A2IAD0	GO:0044562	0.534	P
A2IAD0	GO:0050829	0.425	P
A2IAD0	GO:0050830	0.428	P
A2IAD0	GO:0050832	0.322	P
A2IAD2	GO:0050829	0.315	P
A2IAD2	GO:0050830	0.338	P
A4D9K7	GO:0045944	0.611	P
A4FU69	GO:0030317	0.357	P
A4XXY9	GO:0019396	0.307	P
A6NCL2	GO:0061844	0.313	P
A8K0R7	GO:0000122	0.562	P
A8K0R7	GO:0045944	0.377	P
A8K979	GO:0016926	0.465	P
A8M6W3	GO:0071766	0.417	P
A8MPX8	GO:0035610	0.312	P
A8MWV9	GO:0060306	0.427	P
A8MWV9	GO:0060307	0.598	P
A8MWV9	GO:0086009	0.389	P
A8MWV9	GO:0086011	0.425	P
A8MWV9	GO:0097623	0.341	P
A8MWV9	GO:1901381	0.391	P
A8MWV9	GO:1902260	0.642	P
B6SEH8	GO:0000768	0.989	P
B6SEH9	GO:0000768	0.994	P
B7PCV3	GO:0140099	0.443	P
C0HMD1	GO:0006952	0.463	P
C0HMD5	GO:0035899	0.350	P
C3W5S0	GO:0070580	0.513	P
C4JF78	GO:0045122	0.364	P
C4JF78	GO:0140782	0.422	P
C4JF78	GO:0140878	0.458	P
C4JF81	GO:1900809	0.552	P
C5MR76	GO:0140874	0.407	P
C9ZDC6	GO:0051701	0.382	P
D2XUU4	GO:0044179	0.497	P
D2XUU4	GO:0050829	0.823	P
D2XUU4	GO:0050830	0.787	P
D2XUU5	GO:0050829	0.814	P
D2XUU5	GO:0050830	0.769	P
D2XUU6	GO:0050829	0.718	P
D2XUU6	GO:0050830	0.631	P
D2XUU7	GO:0044179	0.710	P
D2XUU7	GO:0050829	0.863	P
D2XUU7	GO:0050830	0.770	P
D2XUU7	GO:0050832	0.428	P
D2XUU8	GO:0044179	0.418	P
D2XUU8	GO:0050829	0.848	P
D2XUU8	GO:0050830	0.828	P
D2XUU9	GO:0044179	0.413	P
D2XUU9	GO:0050829	0.862	P
D2XUU9	GO:0050830	0.823	P
D2XUV0	GO:0044179	0.487	P
D2XUV0	GO:0050829	0.877	P
D2XUV0	GO:0050830	0.850	P
D2XUV0	GO:0050832	0.336	P
D2XUV1	GO:0044179	0.314	P
D2XUV1	GO:0050829	0.801	P
D2XUV1	GO:0050830	0.778	P
D4GYL4	GO:0006124	0.371	P
D4GYL4	GO:0045927	0.386	P
D4GYL4	GO:0051409	0.359	P
D4GYL4	GO:0052167	0.435	P
D4GYL4	GO:0075136	0.328	P
E4VP11	GO:0044179	0.792	P
E4VP11	GO:0050829	0.906	P
E4VP11	GO:0050830	0.846	P
E4VP11	GO:0050832	0.423	P
E5RQL4	GO:0106074	0.613	P
E9DXX9	GO:0006357	0.386	P
F2SL79	GO:0045122	0.365	P
F2SL79	GO:0140723	0.317	P
G4MYD3	GO:0045944	0.365	P
G4MYD3	GO:0070787	0.320	P
G4NB33	GO:0043371	0.419	P
H3BNL1	GO:0030317	0.410	P
I3L3R5	GO:0033604	0.488	P
I6YGX2	GO:0043952	0.498	P
J4VZG7	GO:1900378	0.382	P
J4WLR8	GO:0045944	0.376	P
J4WLR8	GO:0048315	0.477	P
J5JC27	GO:0045944	0.309	P
J5JM47	GO:0045944	0.390	P
J5K1D5	GO:0006357	0.321	P
J5K1D5	GO:0044550	0.413	P
J5K1D5	GO:1900378	0.309	P
J9VDC2	GO:0045493	0.390	P
J9VJ62	GO:0045944	0.410	P
J9VUG5	GO:0048315	0.359	P
J9VWG0	GO:0006357	0.430	P
J9VWG0	GO:0045944	0.492	P
L7F3F8	GO:0051701	0.362	P
M0QZD8	GO:0042158	0.310	P
O05910	GO:0045927	0.432	P
O06550	GO:0000160	0.306	P
O06550	GO:0045927	0.322	P
O43236	GO:0051013	0.415	P
O50329	GO:0009061	0.625	P
O50329	GO:0017004	0.446	P
O50329	GO:0019645	0.760	P
O50329	GO:0098777	0.368	P
O50335	GO:0043165	0.742	P
O96139	GO:0010322	0.465	P
O97297	GO:0010322	0.463	P
P0C874	GO:0051127	0.360	P
P0DRE1	GO:0050829	0.480	P
P0DRE1	GO:0050830	0.310	P
P0DRE2	GO:0050829	0.340	P
P0DRE4	GO:0050829	0.335	P
P0DRE5	GO:0050829	0.315	P
P0DRE6	GO:0050829	0.310	P
P0DRF0	GO:0050829	0.447	P
P0DRF0	GO:0050830	0.342	P
P0DRF1	GO:0050829	0.303	P
P0DRF3	GO:0006952	0.448	P
P0DRF3	GO:0050829	0.402	P
P0DRF6	GO:0050829	0.369	P
P0DRG9	GO:0006952	0.305	P
P0DRH0	GO:0050829	0.354	P
P0DRH1	GO:0050829	0.315	P
P0DRH2	GO:0050829	0.321	P
P0DRH3	GO:0044179	0.759	P
P0DRH3	GO:0050829	0.834	P
P0DRH3	GO:0050830	0.775	P
P0DRH3	GO:0050832	0.441	P
P0DRH4	GO:0044179	0.699	P
P0DRH4	GO:0050829	0.864	P
P0DRH4	GO:0050830	0.794	P
P0DRH4	GO:0050832	0.426	P
P0DRH5	GO:0044179	0.783	P
P0DRH5	GO:0050829	0.922	P
P0DRH5	GO:0050830	0.864	P
P0DRH5	GO:0050832	0.505	P
P0DRH6	GO:0044179	0.810	P
P0DRH6	GO:0050829	0.899	P
P0DRH6	GO:0050830	0.870	P
P0DRH6	GO:0050832	0.488	P
P0DRH7	GO:0006952	0.432	P
P0DRH7	GO:0050829	0.469	P
P0DRH7	GO:0050830	0.380	P
P0DRH7	GO:0050832	0.373	P
P0DRH8	GO:0044493	0.450	P
P0DRH8	GO:0044562	0.620	P
P0DRH8	GO:0050830	0.316	P
P0DRH9	GO:1905910	0.474	P
P0DRI0	GO:0030431	0.427	P
P0DRI0	GO:1905910	0.610	P
P0DRI1	GO:0030431	0.452	P
P0DRI6	GO:0050829	0.520	P
P0DRI6	GO:0050830	0.554	P
P0DRI6	GO:0061844	0.387	P
P0DRI8	GO:0140099	0.313	P
P0DRI9	GO:0006952	0.384	P
P0DRI9	GO:0050829	0.523	P
P0DRI9	GO:0050830	0.471	P
P0DRI9	GO:0050832	0.323	P
P0DSO2	GO:0042633	0.778	P
P0DSO2	GO:0050829	0.300	P
P0DSO2	GO:0050830	0.396	P
P0DXG5	GO:0045927	0.341	P
P0DXG6	GO:0046503	0.369	P
P0DXU4	GO:0015847	0.303	P
P0DXW0	GO:0140873	0.488	P
P0DXW1	GO:0140873	0.640	P
P0DXW3	GO:0035899	0.433	P
P0DXW4	GO:0006952	0.471	P
P0DXW4	GO:0019953	0.393	P
P0DXW4	GO:0044179	0.315	P
P0DXW4	GO:0044616	0.438	P
P0DXW4	GO:0050829	0.453	P
P0DXW4	GO:0050830	0.440	P
P0DXW4	GO:0050832	0.430	P
P0DXW5	GO:0044562	0.371	P
P0DXW5	GO:0050829	0.418	P
P0DXW5	GO:0050830	0.325	P
P0DXW6	GO:0019953	0.361	P
P0DXW6	GO:0050829	0.583	P
P0DXW6	GO:0050830	0.477	P
P0DXW6	GO:0050832	0.520	P
P0DXW7	GO:0006952	0.317	P
P0DXW7	GO:0019953	0.492	P
P0DXW7	GO:0050829	0.596	P
P0DXW7	GO:0050830	0.474	P
P0DXW7	GO:0050832	0.370	P
P0DXW8	GO:0019953	0.441	P
P0DXW8	GO:0044179	0.328	P
P0DXW8	GO:0050829	0.692	P
P0DXW8	GO:0050830	0.561	P
P0DXW8	GO:0050832	0.413	P
P0DXW9	GO:0010046	0.305	P
P0DXX0	GO:0140099	0.345	P
P0DXX1	GO:0050829	0.403	P
P0DXX1	GO:0050830	0.429	P
P0DXX2	GO:0044179	0.426	P
P0DXX2	GO:0050829	0.347	P
P0DXX2	GO:0050830	0.323	P
P0DXX3	GO:0044179	0.428	P
P0DXX3	GO:0050829	0.401	P
P0DXX3	GO:0050830	0.366	P
P0DXZ3	GO:0006351	0.515	P
P0DXZ3	GO:0006355	0.347	P
P0DXZ3	GO:0045893	0.335	P
P0DXZ4	GO:0044179	0.804	P
P0DXZ4	GO:0050829	0.904	P
P0DXZ4	GO:0050830	0.886	P
P0DXZ4	GO:0050832	0.502	P
P0DXZ5	GO:0006952	0.437	P
P0DXZ5	GO:0019953	0.483	P
P0DXZ5	GO:0044179	0.406	P
P0DXZ5	GO:0045434	0.359	P
P0DXZ5	GO:0050829	0.637	P
P0DXZ5	GO:0050830	0.567	P
P0DXZ5	GO:0050832	0.454	P
P0DXZ7	GO:0006952	0.329	P
P0DXZ8	GO:0044179	0.803	P
P0DXZ8	GO:0050829	0.920	P
P0DXZ8	GO:0050830	0.842	P
P0DXZ8	GO:0050832	0.535	P
P0DXZ9	GO:0006952	0.372	P
P0DXZ9	GO:0050829	0.303	P
P0DY00	GO:0044179	0.590	P
P0DY00	GO:0050829	0.762	P
P0DY00	GO:0050830	0.637	P
P0DY00	GO:0050832	0.369	P
P0DY01	GO:0044179	0.604	P
P0DY01	GO:0050829	0.846	P
P0DY01	GO:0050830	0.729	P
P0DY01	GO:0050832	0.432	P
P0DY02	GO:0044179	0.891	P
P0DY02	GO:0050829	0.941	P
P0DY02	GO:0050830	0.891	P
P0DY02	GO:0050832	0.553	P
P0DY03	GO:0044179	0.344	P
P0DY03	GO:0050829	0.609	P
P0DY03	GO:0050830	0.460	P
P0DY15	GO:0044179	0.640	P
P0DY15	GO:0050829	0.843	P
P0DY15	GO:0050830	0.810	P
P0DY17	GO:0044179	0.756	P
P0DY17	GO:0050829	0.915	P
P0DY17	GO:0050830	0.859	P
P0DY17	GO:0050832	0.489	P
P0DY18	GO:0035899	0.636	P
P0DY18	GO:0044179	0.378	P
P0DY18	GO:0050829	0.657	P
P0DY18	GO:0050830	0.569	P
P0DY21	GO:0006952	0.490	P
P0DY21	GO:0019953	0.300	P
P0DY21	GO:0044179	0.415	P
P0DY21	GO:0050829	0.574	P
P0DY21	GO:0050830	0.483	P
P0DY21	GO:0050832	0.446	P
P0DY24	GO:0044179	0.317	P
P0DY24	GO:0050829	0.567	P
P0DY24	GO:0050830	0.443	P
P0DY24	GO:0050832	0.338	P
P0DY25	GO:0006952	0.361	P
P0DY25	GO:0019953	0.318	P
P0DY25	GO:0050829	0.406	P
P0DY25	GO:0050830	0.300	P
P0DY38	GO:0006952	0.583	P
P0DY39	GO:0050829	0.350	P
P0DY41	GO:0050829	0.380	P
P0DY41	GO:0050830	0.413	P
P0DY41	GO:0140099	0.351	P
P0DY43	GO:0044179	0.412	P
P0DY43	GO:0050829	0.651	P
P0DY43	GO:0050830	0.558	P
P0DY43	GO:0050832	0.315	P
P0DY44	GO:0050829	0.580	P
P0DY44	GO:0050830	0.763	P
P0DY55	GO:0044179	0.410	P
P0DY55	GO:0050829	0.372	P
P0DY55	GO:0050830	0.450	P
P10266	GO:0032197	0.405	P
P52746	GO:0000122	0.349	P
P60509	GO:0000768	0.990	P
P60608	GO:0000768	0.985	P
P60608	GO:0007520	0.322	P
P61550	GO:0000768	0.994	P
P61565	GO:0000768	0.974	P
P62684	GO:0032197	0.635	P
P63128	GO:0032197	0.641	P
P63132	GO:0032197	0.399	P
P63133	GO:0032197	0.397	P
P63136	GO:0032197	0.410	P
P63145	GO:0032197	0.536	P
P71888	GO:0045892	0.403	P
P96857	GO:0000160	0.408	P
P9WEG3	GO:0140878	0.432	P
P9WEG5	GO:0140878	0.308	P
P9WEG7	GO:0140873	0.500	P
P9WEJ6	GO:1901894	0.301	P
P9WEJ6	GO:1902081	0.425	P
Q00367	GO:0042243	0.342	P
Q00368	GO:0006656	0.325	P
Q00368	GO:0019915	0.434	P
Q05C16	GO:0030317	0.499	P
Q0URD7	GO:0006357	0.325	P
Q0URD7	GO:0045944	0.460	P
Q0UTF0	GO:0006357	0.391	P
Q0UTF0	GO:0045944	0.504	P
Q15846	GO:0008203	0.378	P
Q15846	GO:0010875	0.330	P
Q15846	GO:0033700	0.396	P
Q15846	GO:0034375	0.383	P
Q15846	GO:0043691	0.411	P
Q15846	GO:0061518	0.407	P
Q15846	GO:0070328	0.400	P
Q17NR4	GO:0044179	0.765	P
Q17NR4	GO:0050829	0.968	P
Q17NR4	GO:0050830	0.916	P
Q17NR4	GO:0050832	0.504	P
Q17NR4	GO:0140460	0.311	P
Q1D148	GO:0033103	0.302	P
Q1MWN4	GO:0071766	0.484	P
Q1XH10	GO:0000122	0.407	P
Q23421	GO:0034501	0.337	P
Q23421	GO:0090221	0.467	P
Q23421	GO:1903394	0.605	P
Q23421	GO:1905342	0.641	P
Q23421	GO:1905561	0.326	P
Q30KQ1	GO:0050829	0.637	P
Q30KQ1	GO:0050830	0.548	P
Q30KQ7	GO:0050829	0.359	P
Q30KQ7	GO:0050830	0.329	P
Q30KQ9	GO:0006952	0.312	P
Q30KQ9	GO:0050829	0.649	P
Q30KQ9	GO:0050830	0.527	P
Q386M3	GO:0007019	0.305	P
Q386M3	GO:0035735	0.497	P
Q386M3	GO:0051647	0.670	P
Q4QY38	GO:0050829	0.458	P
Q4QY38	GO:0050830	0.332	P
Q4WE63	GO:0006357	0.425	P
Q4WE63	GO:0045944	0.456	P
Q4WF00	GO:0030245	0.349	P
Q53AM4	GO:0030703	0.406	P
Q54WU1	GO:0006971	0.445	P
Q55C03	GO:0006971	0.395	P
Q55C03	GO:0031152	0.385	P
Q57ZI5	GO:0007019	0.446	P
Q57ZI5	GO:0035735	0.486	P
Q57ZI5	GO:0090221	0.447	P
Q59TS6	GO:0000122	0.520	P
Q59TS6	GO:0045944	0.390	P
Q5A3L9	GO:0000122	0.374	P
Q5A3L9	GO:0006357	0.435	P
Q5A3L9	GO:0045944	0.515	P
Q5AHE5	GO:0035268	0.345	P
Q5ANG4	GO:0006357	0.525	P
Q5ANG4	GO:0045944	0.479	P
Q5ANI0	GO:0030447	0.359	P
Q5ANI0	GO:0036180	0.325	P
Q5ANI0	GO:0045944	0.412	P
Q5ANI0	GO:1900445	0.482	P
Q5AY40	GO:1900378	0.432	P
Q5AY42	GO:0044550	0.386	P
Q5AY42	GO:1900378	0.331	P
Q5AZ79	GO:0042243	0.507	P
Q5EP34	GO:0070208	0.358	P
Q5EP34	GO:0070580	0.618	P
Q5HYC2	GO:0000122	0.448	P
Q5JEV0	GO:0002181	0.466	P
Q5JFE2	GO:0002181	0.320	P
Q5JFH3	GO:0002181	0.686	P
Q5JFH3	GO:0006412	0.304	P
Q5SC53	GO:0000768	0.303	P
Q5SVQ8	GO:0000122	0.515	P
Q5SVQ8	GO:0045944	0.390	P
Q5T750	GO:0008544	0.319	P
Q5T750	GO:0042633	0.530	P
Q6FKR3	GO:0045944	0.379	P
Q6IQ21	GO:0000122	0.503	P
Q6XEC0	GO:0000270	0.493	P
Q6YF30	GO:0042243	0.318	P
Q6ZQQ2	GO:0051127	0.553	P
Q6ZST2	GO:0017148	0.352	P
Q6ZSU1	GO:0006805	0.596	P
Q6ZSU1	GO:0008202	0.442	P
Q6ZTZ1	GO:0000122	0.341	P
Q6ZTZ1	GO:0045944	0.319	P
Q6ZU67	GO:0045944	0.359	P
Q6ZUB0	GO:0051127	0.363	P
Q73LY9	GO:0009244	0.679	P
Q7DDD9	GO:0045892	0.378	P
Q7K003	GO:0000122	0.333	P
Q7Z5J8	GO:0030317	0.465	P
Q814Z5	GO:0019878	0.453	P
Q814Z5	GO:0046380	0.371	P
Q86WZ0	GO:0030317	0.407	P
Q8I298	GO:0016485	0.317	P
Q8I299	GO:0044409	0.334	P
Q8I397	GO:0044114	0.516	P
Q8IJI1	GO:0006882	0.307	P
Q8IYL2	GO:0006400	0.406	P
Q8MVC4	GO:0035899	0.339	P
Q8MXG1	GO:0006506	0.318	P
Q8N4S0	GO:0006974	0.306	P
Q8N5S3	GO:0030317	0.722	P
Q8N6G2	GO:0030317	0.604	P
Q8N6Q8	GO:0030488	0.340	P
Q8NFQ6	GO:0030301	0.301	P
Q8WUH6	GO:0019915	0.311	P
Q8WZ33	GO:0030317	0.466	P
Q902F9	GO:0000768	0.977	P
Q96FB5	GO:0034355	0.662	P
Q96RY5	GO:0000122	0.439	P
Q96RY5	GO:0045944	0.337	P
Q97ZH4	GO:0002181	0.426	P
Q9BIM7	GO:0030703	0.606	P
Q9BIM7	GO:1904778	0.312	P
Q9BXR3	GO:0032197	0.424	P
Q9BXY5	GO:0030317	0.344	P
Q9BXY5	GO:0060271	0.371	P
Q9H9K5	GO:0000768	0.983	P
Q9HDB9	GO:0032197	0.398	P
Q9HSN1	GO:0019941	0.468	P
Q9JAE0	GO:0000768	0.321	P
Q9KJT3	GO:0000160	0.348	P
Q9KU93	GO:0000270	0.455	P
Q9MBY2	GO:0044003	0.302	P
Q9MBY2	GO:0045927	0.399	P
Q9NVE5	GO:0016579	0.741	P
Q9NVE5	GO:0071108	0.425	P
Q9NX77	GO:0000768	0.991	P
Q9NXP7	GO:0006313	0.362	P
Q9QC07	GO:0032197	0.393	P
Q9ULL5	GO:0045944	0.382	P
Q9UQG0	GO:0032197	0.499	P
Q9VAM5	GO:0000122	0.307	P
Q9VIA5	GO:0050907	0.346	P
Q9VIA5	GO:0050911	0.570	P
Q9VQG9	GO:0007378	0.525	P
Q9VQG9	GO:0030509	0.316	P
Q9VQG9	GO:0045944	0.372	P
Q9VW78	GO:0050907	0.460	P
Q9WJR5	GO:0032197	0.405	P
