protein_id	go_term	score	aspect
A0A1D8PL89	GO:1900445	0.795	P
A0A1D8PLA4	GO:0030447	0.804	P
A0A1D8PLA4	GO:0036170	0.330	P
A0A1D8PLA4	GO:0036180	0.628	P
A0A1D8PLA4	GO:0045944	0.439	P
A0A1D8PLA4	GO:1900436	0.441	P
A0A1D8PLA4	GO:1900442	0.562	P
A0A1D8PLA4	GO:1900445	0.922	P
A0A1D8PME2	GO:0006357	0.416	P
A0A1D8PME2	GO:0030447	0.337	P
A0A1D8PME2	GO:0045944	0.568	P
A0A1D8PME2	GO:1900445	0.509	P
A0A1D8PMM6	GO:0006493	0.306	P
A0A1D8PMM6	GO:0030447	0.415	P
A0A1D8PMM6	GO:0035268	0.863	P
A0A1D8PMM6	GO:0046354	0.878	P
A0A1D8PMQ3	GO:0035268	0.544	P
A0A1D8PMQ3	GO:0046354	0.494	P
A0A1D8PN93	GO:0006357	0.429	P
A0A1D8PN93	GO:0030447	0.576	P
A0A1D8PN93	GO:0036180	0.324	P
A0A1D8PN93	GO:0045944	0.620	P
A0A1D8PN93	GO:1900445	0.598	P
A0A1D8PNF7	GO:0045944	0.396	P
A0A1D8PNM8	GO:0006357	0.365	P
A0A1D8PNM8	GO:0030447	0.688	P
A0A1D8PNM8	GO:0036180	0.562	P
A0A1D8PNM8	GO:0045944	0.511	P
A0A1D8PNM8	GO:1900436	0.337	P
A0A1D8PNM8	GO:1900445	0.849	P
A0A1D8PNN1	GO:0045944	0.333	P
A0A1D8PPQ3	GO:0045944	0.362	P
A0A1D8PQ19	GO:0030447	0.311	P
A0A1D8PQ19	GO:0035268	0.629	P
A0A1D8PQ19	GO:0046354	0.608	P
A0A1D8PT64	GO:0006357	0.423	P
A0A1D8PT64	GO:0045944	0.493	P
A0A1D8PU45	GO:0006357	0.301	P
A0A1D8PU45	GO:0045944	0.553	P
A0A1D8PU45	GO:0071400	0.402	P
A0A1D8PU45	GO:1900445	0.364	P
A0A1D9PXD2	GO:0006357	0.343	P
A0A1D9PXD2	GO:0045944	0.345	P
A0A1D9PXD2	GO:1900376	0.569	P
A0A1D9PYE1	GO:0000905	0.346	P
A0A1D9PYE1	GO:0048315	0.679	P
A0A1D9PYE1	GO:0070787	0.820	P
A0A1D9PYE1	GO:0075307	0.419	P
A0A1D9PYE1	GO:1900376	0.424	P
A0A1D9QGL5	GO:0000905	0.420	P
A0A1D9QGL5	GO:0010914	0.305	P
A0A1D9QGL5	GO:0048315	0.855	P
A0A1D9QGL5	GO:0070787	0.900	P
A0A1D9QGL5	GO:0075307	0.350	P
A0A1D9QGL5	GO:1900376	0.882	P
A0A1D9QGL5	GO:1900691	0.301	P
A0A1F5L592	GO:1900560	0.316	P
A0A1I1P074	GO:0099048	0.645	P
A0A1I9QLC3	GO:0001907	0.481	P
A0A1I9QLC3	GO:0042243	0.839	P
A0A1I9QLC4	GO:0001907	0.479	P
A0A1I9QLC4	GO:0042243	0.859	P
A0A1I9QLC5	GO:0042243	0.906	P
A0A1I9QLC6	GO:0001907	0.411	P
A0A1I9QLC6	GO:0042243	0.824	P
A0A1I9QLC7	GO:0001907	0.392	P
A0A1I9QLC7	GO:0042243	0.821	P
A0A1I9QLC8	GO:0001907	0.403	P
A0A1I9QLC8	GO:0042243	0.714	P
A0A1I9QLC9	GO:0001907	0.475	P
A0A1I9QLC9	GO:0042243	0.806	P
A0A1I9QLD0	GO:0001907	0.528	P
A0A1I9QLD0	GO:0042243	0.695	P
A0A1I9QLD1	GO:0001907	0.374	P
A0A1I9QLD1	GO:0042243	0.858	P
A0A1L9X985	GO:1900809	0.308	P
A0A1L9X985	GO:2001310	0.417	P
A0A1L9X9G5	GO:0046416	0.440	P
A0A1Q5Q699	GO:1900560	0.320	P
A0A1W2PPK0	GO:0160021	0.904	P
A0A1W2PPM1	GO:0045944	0.324	P
A0A1W2PPM1	GO:0160021	0.915	P
A0A286YEV6	GO:0007288	0.575	P
A0A286YEX9	GO:0007288	0.740	P
A0A286YEY9	GO:0007288	0.683	P
A0A286YF01	GO:0007288	0.660	P
A0A286YF46	GO:0007288	0.679	P
A0A286YF60	GO:0007288	0.632	P
A0A286YF77	GO:0007288	0.703	P
A0A286YFB4	GO:0007288	0.726	P
A0A286YFG1	GO:0007288	0.727	P
A0A2H4SBS0	GO:0019731	0.314	P
A0A2H4SBS0	GO:0050830	0.420	P
A0A2H4SHM4	GO:0050830	0.311	P
A0A2H4SI69	GO:0042243	0.844	P
A0A2K3D179	GO:0034355	0.385	P
A0A2R8Y4M4	GO:0016567	0.322	P
A0A2R8Y4Y8	GO:0001675	0.471	P
A0A2R8Y4Y8	GO:0007339	0.307	P
A0A2R8YFM6	GO:0007339	0.362	P
A0A2T3Z3L3	GO:0001907	0.316	P
A0A2T3Z3L3	GO:0042243	0.423	P
A0A2T3ZJV9	GO:0042243	0.489	P
A0A2Z4LIS9	GO:0045944	0.421	P
A0A2Z5U3C2	GO:0140873	0.347	P
A0A2Z5U3C2	GO:1902181	0.345	P
A0A384JA57	GO:0042243	0.693	P
A0A385XI13	GO:0044550	0.586	P
A0A385XI13	GO:1900376	0.314	P
A0A3P8MJV5	GO:0050829	0.435	P
A0A3P8MJV5	GO:0050830	0.459	P
A0A411D538	GO:0050829	0.309	P
A0A411D538	GO:0050830	0.538	P
A0A423VH03	GO:0006357	0.331	P
A0A423VH03	GO:0045944	0.324	P
A0A423VH03	GO:0048315	0.342	P
A0A423VH03	GO:0070787	0.735	P
A0A423VH03	GO:1900376	0.616	P
A0A423VH03	GO:1900691	0.371	P
A0A423W697	GO:0048315	0.438	P
A0A455ZLR3	GO:0140722	0.411	P
A0A455ZLR3	GO:1900560	0.401	P
A0A455ZLR3	GO:1900563	0.403	P
A0A455ZLR3	GO:1900809	0.482	P
A0A455ZLR3	GO:2001310	0.558	P
A0A455ZMR3	GO:0042318	0.869	P
A0A482PJF5	GO:0006511	0.521	P
A0A482PJF5	GO:0016567	0.651	P
A0A482PJY4	GO:0006511	0.559	P
A0A482PJY4	GO:0016567	0.434	P
A0A482PUS2	GO:0006511	0.531	P
A0A482PUS2	GO:0016567	0.342	P
A0A509AL23	GO:0070583	0.306	P
A0A5F9ZHS7	GO:0000122	0.303	P
A0A5F9ZHS7	GO:0045944	0.346	P
A0A5N6TQK6	GO:0044550	0.346	P
A0A5N6TQK6	GO:1900551	0.319	P
A0A5N6TQK6	GO:1900809	0.335	P
A0A6E8W6Y5	GO:0007218	0.451	P
A0A6M3YMB5	GO:0015628	0.453	P
A0A7J6K463	GO:0031123	0.425	P
A0A7J6K463	GO:0080156	0.371	P
A0A7J6K5A8	GO:0031123	0.351	P
A0A7J6KDB0	GO:0140404	0.520	P
A0A7R7ZUZ1	GO:0006506	0.338	P
A0A7T8F1J6	GO:0140873	0.366	P
A0A7T8F1L3	GO:0044550	0.386	P
A0A7U2I117	GO:0075307	0.447	P
A0A8A5N547	GO:0001907	0.483	P
A0A8A5N547	GO:0042243	0.675	P
A0A8B0M5T9	GO:0042318	0.674	P
A0A8B0M5T9	GO:0044550	0.321	P
A0A8B0M9T7	GO:0006561	0.550	P
A0A8B0M9T7	GO:0055129	0.626	P
A0A9E8S4N7	GO:0042243	0.543	P
A0A9P5BNK0	GO:0019915	0.406	P
A0A9P5BNK0	GO:0071786	0.354	P
A0A9P5CTI1	GO:0005995	0.519	P
A0A9W3N256	GO:0033696	0.447	P
A0AAD6NH75	GO:0006896	0.483	P
A0AAD6NH75	GO:0006897	0.322	P
A0AAD6NH75	GO:0006906	0.374	P
A0AAD6NH75	GO:0042147	0.377	P
A0AAN2H888	GO:0006312	0.355	P
A0AB73RZI6	GO:0006357	0.305	P
A0AB73RZI6	GO:0045944	0.479	P
A0QV03	GO:0000027	0.394	P
A0QV03	GO:0006412	0.469	P
A0R2N2	GO:0045892	0.415	P
A0R2N2	GO:0045893	0.336	P
A1CVQ3	GO:1900560	0.405	P
A1DBL3	GO:0050830	0.360	P
A1Z8F4	GO:0007379	0.364	P
A1Z8F4	GO:0007400	0.353	P
A1Z8F4	GO:0007469	0.525	P
A1Z8F4	GO:0046665	0.635	P
A1Z8F4	GO:0048542	0.316	P
A2E926	GO:0035735	0.430	P
A2IA78	GO:0050829	0.319	P
A2IA78	GO:0050830	0.422	P
A2IA89	GO:0035893	0.495	P
A2IA90	GO:0035893	0.662	P
A2IA93	GO:0035893	0.489	P
A2IAB1	GO:0035738	0.332	P
A2IAB1	GO:0050830	0.442	P
A2IAB1	GO:0050832	0.419	P
A2IAB2	GO:0006952	0.342	P
A2IAB2	GO:0035738	0.452	P
A2IAB2	GO:0050830	0.498	P
A2IAB2	GO:0050832	0.375	P
A2IAD0	GO:0006952	0.504	P
A2IAD0	GO:0035738	0.321	P
A2IAD0	GO:0044493	0.698	P
A2IAD0	GO:0044562	0.550	P
A2IAD0	GO:0050830	0.327	P
A2IAD0	GO:0051715	0.462	P
A2QQU8	GO:0043386	0.690	P
A2QQU8	GO:1900378	0.690	P
A4D9K7	GO:0006357	0.342	P
A4D9K7	GO:0045944	0.372	P
A4FU69	GO:0007288	0.371	P
A4FU69	GO:0007338	0.319	P
A4FU69	GO:0030317	0.500	P
A4FU69	GO:0120316	0.492	P
A4FU69	GO:1905198	0.804	P
A4LAR6	GO:0001907	0.452	P
A4LAR6	GO:0042243	0.752	P
A4XXY9	GO:0046417	0.483	P
A5K0H6	GO:0030437	0.421	P
A5K0H6	GO:0070124	0.758	P
A5PLK6	GO:0007288	0.339	P
A5YVV0	GO:0046693	0.400	P
A6NC86	GO:0007339	0.368	P
A6NCI4	GO:0060271	0.330	P
A6NCI5	GO:0006312	0.431	P
A6NCI5	GO:0030437	0.344	P
A6ND91	GO:0006085	0.308	P
A6ND91	GO:0006729	0.476	P
A6NEY8	GO:0106074	0.543	P
A6NIN4	GO:0016567	0.310	P
A8K979	GO:0090656	0.468	P
A8M6W6	GO:0044550	0.327	P
A8M6W6	GO:1902181	0.339	P
A8MWV9	GO:1902260	0.742	P
A8P9W4	GO:0042243	0.767	P
A8PA37	GO:0042243	0.454	P
B1APH4	GO:0000122	0.330	P
B6SEH8	GO:0000768	0.995	P
B6SEH9	GO:0000768	0.995	P
B7PCV3	GO:0050830	0.342	P
B7PCV3	GO:0140099	0.424	P
B7Z8K6	GO:0002355	0.328	P
C4JF78	GO:0035837	0.377	P
C4JF78	GO:0044550	0.408	P
C4JF78	GO:0140782	0.453	P
C4JF81	GO:0044550	0.353	P
C4JF82	GO:1900809	0.346	P
C5MR76	GO:0002047	0.521	P
C6KSN4	GO:0010998	0.569	P
C6KSN4	GO:0044114	0.645	P
C9ZDC6	GO:0002047	0.387	P
D2XUU4	GO:0050829	0.320	P
D2XUU4	GO:0050830	0.634	P
D2XUU5	GO:0050830	0.600	P
D2XUU6	GO:0050829	0.376	P
D2XUU6	GO:0050830	0.597	P
D2XUU8	GO:0050830	0.522	P
D2XUU9	GO:0050830	0.496	P
D2XUV0	GO:0050830	0.472	P
D2XUV1	GO:0050830	0.421	P
D5LWW7	GO:0010623	0.379	P
D5RFM4	GO:0006145	0.407	P
D5RFM4	GO:0009231	0.314	P
D5RFM4	GO:0019243	0.500	P
D8QCG9	GO:0042243	0.764	P
E2I9M6	GO:0008033	0.481	P
E4VP11	GO:0044179	0.613	P
E4VP11	GO:0050829	0.774	P
E4VP11	GO:0050830	0.777	P
E9DXX9	GO:0006357	0.386	P
E9DXX9	GO:0045893	0.317	P
E9DXX9	GO:0045944	0.376	P
E9E114	GO:1900378	0.647	P
E9F970	GO:0032581	0.563	P
E9F970	GO:0071786	0.537	P
E9FBT2	GO:0042243	0.547	P
E9FDE9	GO:0042243	0.347	P
F2SL80	GO:1900378	0.878	P
F2SL86	GO:0140722	0.339	P
G1XJN1	GO:0000296	0.343	P
G1XJN1	GO:2001317	0.350	P
G4MYD3	GO:0045944	0.310	P
G4NB33	GO:0140727	0.372	P
G4NGN5	GO:0019243	0.617	P
G4NGN5	GO:0080028	0.340	P
G9MK14	GO:0052009	0.308	P
H3BNL1	GO:0030317	0.634	P
I1RJE5	GO:0000752	0.452	P
I1RJE5	GO:0031505	0.413	P
I7MD46	GO:0006909	0.361	P
I7MD46	GO:0030587	0.582	P
I7MD46	GO:0031589	0.390	P
J3KAS3	GO:0044550	0.345	P
J4UJ50	GO:0050830	0.374	P
J4VZG7	GO:1900378	0.785	P
J4W2A8	GO:0042243	0.664	P
J4WLR8	GO:0045944	0.382	P
J4WLR8	GO:0070787	0.725	P
J4WLR8	GO:0075307	0.333	P
J4WLR8	GO:1900376	0.414	P
J5JC27	GO:0045944	0.312	P
J5K1D5	GO:1900378	0.503	P
J9UD11	GO:0000296	0.303	P
J9UD11	GO:0015848	0.342	P
J9VG14	GO:0006357	0.482	P
J9VG14	GO:0045944	0.432	P
J9VG14	GO:1900376	0.327	P
J9VUG5	GO:0006357	0.302	P
J9VWG0	GO:0006357	0.426	P
J9VWG0	GO:0045944	0.427	P
J9VWG0	GO:1900376	0.328	P
K5TWP9	GO:0033617	0.543	P
L7F3F8	GO:0002047	0.395	P
L7N648	GO:0030254	0.308	P
L7N648	GO:0051701	0.300	P
O06550	GO:0045892	0.370	P
O06550	GO:0045893	0.360	P
O13502	GO:0001907	0.401	P
O13502	GO:0042243	0.685	P
O13503	GO:0001907	0.513	P
O13503	GO:0042243	0.725	P
O17899	GO:0007186	0.423	P
O43236	GO:0051388	0.360	P
O50330	GO:0009291	0.493	P
O50333	GO:0044315	0.487	P
O50335	GO:0043107	0.427	P
O50337	GO:0015628	0.364	P
O51799	GO:0002047	0.745	P
O60047	GO:0001907	0.361	P
O60047	GO:0042243	0.861	P
O60048	GO:0001907	0.496	P
O60048	GO:0042243	0.389	P
O76269	GO:0000296	0.335	P
O76343	GO:0000296	0.381	P
O93917	GO:0001907	0.346	P
O93917	GO:0042243	0.777	P
O94203	GO:0001907	0.589	P
O94217	GO:0042243	0.628	P
O96002	GO:0030437	0.301	P
P0C874	GO:0030317	0.310	P
P0C874	GO:0051127	0.722	P
P0C874	GO:0120316	0.304	P
P0C874	GO:0140089	0.623	P
P0CG23	GO:0045944	0.321	P
P0CG23	GO:0160021	0.349	P
P0DRE1	GO:0007218	0.311	P
P0DRE2	GO:0045987	0.301	P
P0DRE4	GO:0007218	0.717	P
P0DRE5	GO:0007218	0.715	P
P0DRE6	GO:0007218	0.375	P
P0DRE8	GO:0007218	0.881	P
P0DRE9	GO:0007218	0.636	P
P0DRF0	GO:0007218	0.447	P
P0DRF3	GO:0007218	0.792	P
P0DRG5	GO:0007218	0.778	P
P0DRG6	GO:0007218	0.617	P
P0DRG6	GO:0045987	0.302	P
P0DRG8	GO:0045987	0.421	P
P0DRH0	GO:0007218	0.658	P
P0DRH1	GO:0007218	0.882	P
P0DRH2	GO:0045987	0.313	P
P0DRH3	GO:0002776	0.602	P
P0DRH3	GO:0007218	0.823	P
P0DRH4	GO:0002776	0.499	P
P0DRH4	GO:0007218	0.610	P
P0DRH4	GO:0050829	0.392	P
P0DRH4	GO:0050830	0.404	P
P0DRH5	GO:0002776	0.557	P
P0DRH5	GO:0007218	0.711	P
P0DRH5	GO:0050829	0.390	P
P0DRH5	GO:0050830	0.423	P
P0DRH6	GO:0002776	0.645	P
P0DRH6	GO:0007218	0.855	P
P0DRH6	GO:0050829	0.316	P
P0DRH7	GO:0006952	0.348	P
P0DRH7	GO:0050829	0.485	P
P0DRH7	GO:0050830	0.511	P
P0DRH7	GO:0050832	0.326	P
P0DRH8	GO:0006952	0.312	P
P0DRH8	GO:0044562	0.644	P
P0DRH9	GO:1905910	0.449	P
P0DRI0	GO:0040024	0.315	P
P0DRI0	GO:1905910	0.672	P
P0DRI1	GO:0008286	0.306	P
P0DRI1	GO:1905910	0.631	P
P0DRI2	GO:1905910	0.384	P
P0DRI3	GO:0050829	0.301	P
P0DRI3	GO:1905910	0.333	P
P0DRI7	GO:0097501	0.384	P
P0DRI7	GO:0120127	0.342	P
P0DRI9	GO:0006952	0.380	P
P0DRI9	GO:0035738	0.401	P
P0DRI9	GO:0042742	0.331	P
P0DRI9	GO:0050829	0.599	P
P0DRI9	GO:0050830	0.612	P
P0DRI9	GO:0050832	0.318	P
P0DRI9	GO:0051715	0.387	P
P0DSO2	GO:0007288	0.694	P
P0DXG5	GO:0045892	0.365	P
P0DXU6	GO:0051701	0.306	P
P0DXV5	GO:0044550	0.378	P
P0DXV5	GO:0140722	0.398	P
P0DXV6	GO:0044550	0.315	P
P0DXW0	GO:0140722	0.307	P
P0DXW0	GO:0140873	0.957	P
P0DXW1	GO:0140873	0.966	P
P0DXW4	GO:0006952	0.472	P
P0DXW4	GO:0050829	0.418	P
P0DXW4	GO:0050830	0.609	P
P0DXW4	GO:0050832	0.397	P
P0DXW6	GO:0050829	0.309	P
P0DXW6	GO:0050830	0.512	P
P0DXW6	GO:0050832	0.312	P
P0DXW7	GO:0006952	0.422	P
P0DXW7	GO:0035738	0.486	P
P0DXW7	GO:0050829	0.372	P
P0DXW7	GO:0050830	0.535	P
P0DXW7	GO:0050832	0.312	P
P0DXW7	GO:0051715	0.339	P
P0DXW8	GO:0050830	0.412	P
P0DXX7	GO:0015628	0.591	P
P0DXY1	GO:1901848	0.312	P
P0DXZ3	GO:0006351	0.328	P
P0DXZ3	GO:0045892	0.340	P
P0DXZ4	GO:0044179	0.593	P
P0DXZ4	GO:0050829	0.717	P
P0DXZ4	GO:0050830	0.864	P
P0DXZ4	GO:0050832	0.397	P
P0DXZ5	GO:0006952	0.353	P
P0DXZ5	GO:0007218	0.325	P
P0DXZ5	GO:0035738	0.380	P
P0DXZ5	GO:0044179	0.390	P
P0DXZ5	GO:0050829	0.586	P
P0DXZ5	GO:0050830	0.705	P
P0DXZ5	GO:0050832	0.494	P
P0DXZ5	GO:0051715	0.386	P
P0DXZ7	GO:0006952	0.366	P
P0DXZ8	GO:0002776	0.543	P
P0DXZ8	GO:0007218	0.677	P
P0DXZ8	GO:0050829	0.489	P
P0DXZ8	GO:0050830	0.481	P
P0DXZ8	GO:0050832	0.318	P
P0DXZ9	GO:0002776	0.551	P
P0DXZ9	GO:0007218	0.628	P
P0DXZ9	GO:0060183	0.351	P
P0DY00	GO:0007218	0.371	P
P0DY00	GO:0044179	0.394	P
P0DY00	GO:0050829	0.615	P
P0DY00	GO:0050830	0.696	P
P0DY00	GO:0050832	0.363	P
P0DY01	GO:0002776	0.499	P
P0DY01	GO:0007218	0.751	P
P0DY02	GO:0002776	0.355	P
P0DY02	GO:0007218	0.462	P
P0DY02	GO:0044179	0.369	P
P0DY02	GO:0050829	0.567	P
P0DY02	GO:0050830	0.628	P
P0DY02	GO:0050832	0.352	P
P0DY03	GO:0002776	0.679	P
P0DY03	GO:0007218	0.437	P
P0DY03	GO:0050829	0.473	P
P0DY03	GO:0050830	0.492	P
P0DY04	GO:0050832	0.341	P
P0DY15	GO:0044179	0.396	P
P0DY15	GO:0050829	0.628	P
P0DY15	GO:0050830	0.664	P
P0DY17	GO:0002776	0.597	P
P0DY17	GO:0007218	0.454	P
P0DY17	GO:0050829	0.562	P
P0DY17	GO:0050830	0.628	P
P0DY17	GO:0050832	0.379	P
P0DY18	GO:0050829	0.498	P
P0DY18	GO:0050830	0.659	P
P0DY21	GO:0006952	0.348	P
P0DY21	GO:0035738	0.465	P
P0DY24	GO:0042742	0.307	P
P0DY24	GO:0050829	0.510	P
P0DY24	GO:0050830	0.553	P
P0DY25	GO:0006952	0.480	P
P0DY25	GO:0035738	0.529	P
P0DY25	GO:0050829	0.390	P
P0DY25	GO:0050830	0.537	P
P0DY25	GO:0050832	0.330	P
P0DY38	GO:0006952	0.477	P
P0DY38	GO:0044493	0.683	P
P0DY39	GO:0050829	0.470	P
P0DY39	GO:0050830	0.467	P
P0DY43	GO:0006952	0.401	P
P0DY43	GO:0035738	0.421	P
P0DY43	GO:0042742	0.354	P
P0DY43	GO:0050829	0.644	P
P0DY43	GO:0050830	0.665	P
P0DY43	GO:0050832	0.403	P
P0DY44	GO:0050830	0.455	P
P60509	GO:0000768	0.990	P
P60608	GO:0000768	0.995	P
P60608	GO:0007520	0.419	P
P61550	GO:0000768	0.996	P
P61550	GO:0006949	0.361	P
P61550	GO:0007520	0.489	P
P61565	GO:0000768	0.993	P
P62502	GO:0001516	0.535	P
P71888	GO:0045892	0.375	P
P78601	GO:0001907	0.413	P
P78601	GO:0042243	0.499	P
P78602	GO:0001907	0.406	P
P78602	GO:0042243	0.658	P
P9WEG2	GO:0044550	0.386	P
P9WEG3	GO:0140873	0.374	P
P9WEG3	GO:1900809	0.454	P
P9WEG7	GO:0140722	0.317	P
P9WEG7	GO:0140873	0.942	P
Q00367	GO:0042243	0.569	P
Q00368	GO:0019915	0.377	P
Q00368	GO:0071786	0.319	P
Q05C16	GO:0007283	0.463	P
Q080S8	GO:0006777	0.421	P
Q0VDD8	GO:0007288	0.601	P
Q0VDD8	GO:0030317	0.393	P
Q0VDD8	GO:0035082	0.472	P
Q0VDD8	GO:0060271	0.339	P
Q0VDD8	GO:0120316	0.491	P
Q0VDD8	GO:1905198	0.663	P
Q14236	GO:0030437	0.324	P
